"","pathway"
"1","C2CP - BioCarta 41bb Pathway"
"2","C2CP - BioCarta ACE2 Pathway"
"3","C2CP - BioCarta Acetaminophen Pathway"
"4","C2CP - BioCarta Ach Pathway"
"5","C2CP - BioCarta Actiny Pathway"
"6","C2CP - BioCarta Agpcr Pathway"
"7","C2CP - BioCarta Agr Pathway"
"8","C2CP - BioCarta Ahsp Pathway"
"9","C2CP - BioCarta Akap13 Pathway"
"10","C2CP - BioCarta Akap95 Pathway"
"11","C2CP - BioCarta Akapcentrosome Pathway"
"12","C2CP - BioCarta Akt Pathway"
"13","C2CP - BioCarta Alk Pathway"
"14","C2CP - BioCarta AlteRNAtive Pathway"
"15","C2CP - BioCarta Aman Pathway"
"16","C2CP - BioCarta Ami Pathway"
"17","C2CP - BioCarta Arap Pathway"
"18","C2CP - BioCarta Arenrf2 Pathway"
"19","C2CP - BioCarta Arf Pathway"
"20","C2CP - BioCarta Asbcell Pathway"
"21","C2CP - BioCarta At1r Pathway"
"22","C2CP - BioCarta Atm Pathway"
"23","C2CP - BioCarta Atrbrca Pathway"
"24","C2CP - BioCarta Bad Pathway"
"25","C2CP - BioCarta Bard1 Pathway"
"26","C2CP - BioCarta Barr MAPK Pathway"
"27","C2CP - BioCarta Barrestin Pathway"
"28","C2CP - BioCarta Barrestin Src Pathway"
"29","C2CP - BioCarta Bbcell Pathway"
"30","C2CP - BioCarta Bcellsurvival Pathway"
"31","C2CP - BioCarta BCR Pathway"
"32","C2CP - BioCarta Biopeptides Pathway"
"33","C2CP - BioCarta Blymphocyte Pathway"
"34","C2CP - BioCarta Botulin Pathway"
"35","C2CP - BioCarta Btg2 Pathway"
"36","C2CP - BioCarta Cacam Pathway"
"37","C2CP - BioCarta Calcineurin Pathway"
"38","C2CP - BioCarta Cardiacegf Pathway"
"39","C2CP - BioCarta Carm Er Pathway"
"40","C2CP - BioCarta Carm1 Pathway"
"41","C2CP - BioCarta Caspase Pathway"
"42","C2CP - BioCarta Cb1r Pathway"
"43","C2CP - BioCarta Cbl Pathway"
"44","C2CP - BioCarta CCR3 Pathway"
"45","C2CP - BioCarta CCR5 Pathway"
"46","C2CP - BioCarta CD40 Pathway"
"47","C2CP - BioCarta CDC25 Pathway"
"48","C2CP - BioCarta CDC42rac Pathway"
"49","C2CP - BioCarta Cdk5 Pathway"
"50","C2CP - BioCarta Cdmac Pathway"
"51","C2CP - BioCarta Cell2cell Pathway"
"52","C2CP - BioCarta Cellcycle Pathway"
"53","C2CP - BioCarta Ceramide Pathway"
"54","C2CP - BioCarta Cftr Pathway"
"55","C2CP - BioCarta Chemical Pathway"
"56","C2CP - BioCarta Chrebp Pathway"
"57","C2CP - BioCarta Circadian Pathway"
